"time","health"
4730,45.479694
4735,55.3480707
4740,56.3213673
4745,56.3213673
4750,50.9003741
4755,50.9003741
4760,50.9003741
4765,40.2279869
4770,40.2279869
4775,46.7945019
4780,46.7945019
4785,46.7945019
4790,48.1152789
4795,46.7278318
4800,42.7231414
4805,45.3650691
4810,52.6047996
4815,48.0343375
4820,48.0343375
4825,48.0343375
4830,45.2240125
4835,53.4790556
4840,56.1803309
4845,44.607256
4850,44.607256
4855,44.607256
4860,44.607256
4865,44.607256
4870,45.8014093
4875,45.8014093
4880,45.8014093
4885,45.8014093
4890,44.1040033
4895,44.1040033
4900,45.3616654
4905,53.5401707
4910,61.6112019
4915,53.3603604
4920,54.8267592
4925,54.8804104
4930,54.8804104
4935,43.8697439
4940,39.8699621
4945,54.0598258
4950,54.0598258
4955,54.0598258
4960,54.0598258
4965,53.6250814
4970,48.0755859
4975,48.014592
4980,48.014592
4985,48.014592
4990,48.014592
4995,58.9212386
5000,58.9212386
5005,58.9212386
5010,58.9212386
5015,58.9212386
5020,58.9212386
5025,50.8362492
5030,50.8362492
5035,50.8362492
5040,50.8362492
5045,50.8362492
5050,50.8362492
5055,43.2123753
5060,43.2123753
5065,43.2123753
5070,43.2123753
5075,43.2123753
5080,43.2123753
5085,48.601907
5090,48.601907
5095,50.6926979
5100,46.6427898
5105,45.8904812
5110,49.301938
5115,46.6370833
5120,46.6370833
5125,52.0859121
5130,60.2756082
5135,60.2756082
5140,60.2756082
5145,60.2756082
5150,53.5128098
5155,53.5128098
5160,52.0512489
5165,50.8327445
5170,43.8804802
5175,43.9324043
5180,43.9324043
5185,48.1481544
5190,52.1856496
5195,52.1856496
5200,52.1856496
5205,46.6989155
5210,54.9289308
5215,49.4989789
5220,49.4989789
5225,49.4989789
5230,49.4989789
5235,52.5503808
5240,52.5503808
5245,52.5503808
5250,52.5503808
5255,53.5195263
5260,48.0541032
5265,43.1348679
5270,43.1348679
5275,61.7231099
5280,53.5655015
5285,49.5119877
5290,46.7838262
5295,54.8704619
5300,52.1856193
5305,50.8749221
5310,61.66454
5315,53.4436652
5320,45.3460306
5325,49.5139673
5330,56.2528691
5335,50.7843049
5340,53.5416655
5345,53.5416655
5350,49.503938
5355,56.2858254
5360,43.0533104
5365,58.9565078
5370,58.9565078
5375,58.9565078
5380,58.9565078
5385,49.551004
5390,52.1395027
5395,45.3725027
5400,58.8831313
5405,44.0562
5410,55.3926016
5415,55.3926016
5420,55.3926016
5425,55.3926016
5430,55.3926016
5435,52.2136165
5440,52.2136165
5445,53.452836
5450,53.452836
5455,53.452836
5460,49.3985243
5465,53.4882163
5470,53.4882163
5475,53.4882163
5480,50.7618324
