time,ax,ay,az,aT
2.8160,0.2008,0.0576,0.1082,0.235
2.8180,-0.4339,-0.7767,0.4936,1.017
2.8210,-0.4352,0.3638,-0.5443,0.786
2.8390,-0.1195,0.8726,0.0591,0.883
2.8450,0.1643,1.0102,-0.1779,1.039
2.8520,1.2581,0.3008,-0.2844,1.324
2.8610,0.6967,-0.4214,0.8157,1.153
2.8720,-0.3967,0.2881,-0.6735,0.833
2.8810,0.0095,0.5453,-0.2785,0.612
2.9080,0.2685,0.8717,0.0915,0.917
2.9100,0.6544,0.4107,0.0113,0.773
2.9120,0.2630,-0.9210,1.3425,1.649
2.9210,-0.3549,0.0133,-1.7437,1.779
2.9320,-0.2322,-0.3997,0.2327,0.518
2.9430,-0.2300,0.0139,-0.1791,0.292
2.9520,-0.3605,-0.5666,0.4542,0.811
2.9620,-0.3237,-0.9611,-0.6831,1.223
2.9720,-0.3093,-0.5068,-0.8734,1.056
2.9930,0.3467,0.6086,-0.0953,0.707
2.9970,0.5705,1.2064,0.4182,1.398
3.0080,0.5668,0.5636,0.4074,0.897
3.0120,-0.4555,-0.6714,-0.1875,0.833
3.0210,-0.0130,-0.2696,-0.2845,0.392
3.0620,0.1351,0.7134,1.0395,1.268
3.0620,-0.1386,0.8938,-0.8363,1.232
3.0630,-0.0971,0.0437,-0.5250,0.536
3.0640,-0.3412,-0.4894,-0.7476,0.957
3.0720,0.3971,-0.3124,0.7153,0.876
3.0820,-0.2254,-0.1291,1.2934,1.319
3.1000,0.0182,0.8211,0.3645,0.899
3.1020,0.2187,0.1487,-0.2891,0.392
3.1320,-0.1944,-0.6986,0.3945,0.826
3.1340,-0.0563,-0.7186,1.4659,1.634
3.1350,-0.3454,0.0319,-0.4196,0.544
3.1420,0.2261,0.3375,0.5429,0.678
3.1520,0.2430,-0.3067,-0.8529,0.938
3.1630,-0.2580,-0.5638,-0.0102,0.620
3.1720,0.1417,-0.1430,0.3896,0.439
3.1810,0.4634,0.4886,-0.6327,0.924
3.1980,0.4278,0.8266,0.4327,1.026
3.2010,0.4133,-0.2356,-0.0953,0.485
3.2280,-0.4183,-0.3318,0.0053,0.534
3.2300,-0.5779,-0.5180,-0.6376,1.004
3.2320,-0.1392,0.1139,-0.3228,0.370
3.2410,0.0937,-0.0519,0.9330,0.939
3.2530,-0.5153,-0.4438,-1.0243,1.229
3.2630,-0.8055,-1.2017,-1.2362,1.903
3.2720,-0.3465,-0.9500,-0.3755,1.079
3.2850,-0.4245,-0.6180,0.6755,1.009
3.3260,0.1402,-0.3588,0.2769,0.474
3.3280,-0.0728,-0.5182,-0.8664,1.012
3.3290,-0.2814,-0.9792,-0.7813,1.284
3.3300,-0.4195,-0.3284,-0.4976,0.729
3.3320,0.4596,0.3615,-0.3203,0.667
3.3410,0.8925,1.2250,1.1270,1.889
3.3520,0.5469,0.2049,-0.7011,0.912
3.3630,-0.3781,-0.6848,-1.1045,1.353
3.3720,0.0322,-0.4914,-0.5898,0.768
3.3810,0.6863,0.8171,0.5619,1.206
3.3990,0.1148,0.7506,-0.2319,0.794
3.4070,0.1038,-0.1307,0.5043,0.531
3.4130,0.5739,-0.3444,0.4037,0.782
3.4350,-0.3468,-0.4862,0.3474,0.691
3.4380,0.3334,0.8724,0.2683,0.972
3.4420,0.6978,0.4484,-0.0334,0.830
3.4530,0.4744,-0.2312,0.4178,0.673
3.4630,-0.2634,-0.5657,-1.3743,1.509
3.4720,-1.2485,-1.0595,-0.6178,1.750
3.4820,-0.3137,0.4551,-0.6393,0.845
3.5010,0.2911,0.6336,0.7817,1.047
3.5030,0.1662,-0.0486,0.3303,0.373
3.5380,0.2694,-0.4214,0.1184,0.514
3.5400,-0.7123,-0.7095,-0.3353,1.060
3.5420,0.2273,0.6575,0.0430,0.697
3.5440,0.8400,0.0982,0.5913,1.032
3.5520,0.1932,0.3703,0.7230,0.835
3.5630,0.2393,-0.0722,-1.0213,1.051
3.5720,-0.5210,0.0132,-0.7137,0.884
3.5810,-0.4290,0.1196,-0.3928,0.594
3.6000,0.1126,0.3992,0.6020,0.731
3.6080,-0.0650,0.0322,-0.2587,0.269
3.6390,-0.6241,-0.7755,-0.5951,1.160
3.6410,-0.7238,-0.5242,-1.0176,1.354
3.6430,0.1419,0.6535,-0.4322,0.796
3.6440,0.6872,0.9140,0.4226,1.219
3.6530,0.1469,-0.0121,0.2718,0.309
3.6630,-0.0172,-0.6294,-0.3639,0.727
3.6720,-0.4206,-0.6689,-0.2921,0.842
3.6820,0.0222,0.6785,0.3687,0.773
3.6920,0.3868,0.8997,0.2838,1.020
3.7020,0.1111,0.0025,0.8548,0.862
3.7120,0.7282,-0.2582,0.1413,0.785
3.7420,-0.2873,-0.7467,-1.1337,1.388
3.7440,-0.6966,0.1820,-0.8212,1.092
3.7460,-0.1569,1.1635,-0.0131,1.174
3.7520,0.4143,0.3026,-0.4333,0.672
3.7630,0.8346,0.5596,1.0918,1.484
3.7730,-0.2581,0.3131,-1.5694,1.621
3.7830,-0.6970,-0.2128,-0.1425,0.743
3.7920,-0.4357,0.5828,-0.7278,1.029
3.8050,-0.4318,0.5772,-0.7277,1.024
3.8460,-0.2618,-0.3843,-1.0186,1.120
3.8470,-0.4155,-0.1388,-1.3094,1.381
3.8470,-0.5306,0.3499,-0.7420,0.977
3.8480,0.0250,0.7563,-0.0045,0.757
3.8520,0.2310,-0.2799,0.1932,0.411
3.8620,-0.1748,-0.6330,-0.3096,0.726
3.8720,0.0172,-0.5336,-0.1384,0.551
3.8820,0.2783,0.4843,-0.1013,0.568
3.9030,0.2355,0.2328,0.2734,0.429
3.9070,0.3849,0.5256,0.2363,0.693
3.9500,0.8061,-0.1661,0.1920,0.845
3.9520,0.1629,-0.0897,0.4685,0.504
3.9530,0.4009,0.9529,-0.5862,1.188
3.9540,0.3695,0.4670,-0.1553,0.615
3.9560,0.1798,0.1075,-0.3277,0.389
3.9630,-0.0059,-0.5440,-0.8341,0.996
3.9720,0.2248,-0.0913,0.7077,0.748
3.9930,0.1612,0.6242,-1.9164,2.022
4.0020,0.3978,0.5864,0.1941,0.735
4.0030,0.2537,-0.3359,-1.0976,1.176
4.0130,0.1749,-0.9620,0.3018,1.023
4.0220,-0.5245,-0.7810,-0.5087,1.070
4.0660,0.2611,0.6213,-0.2490,0.718
4.0660,0.0556,0.0667,-0.8153,0.820
4.0670,0.2154,-0.3340,0.2346,0.462
4.0680,-0.2049,-0.7470,-0.3532,0.851
4.0720,-0.3695,-0.4231,-0.6178,0.835
4.0820,0.8423,0.7121,-0.0397,1.104
4.0920,0.5623,1.0041,0.5935,1.295
4.1070,0.3173,0.3589,-0.8358,0.963
4.1340,-0.7460,-0.6407,-0.4647,1.088
4.1350,0.4731,-0.8361,-0.6227,1.145
4.1360,-0.2893,0.1430,0.7419,0.809
4.1410,0.1300,0.8564,-0.7940,1.175
4.1520,-0.0294,-0.0255,-0.1954,0.199
4.1620,0.0651,-0.0387,0.0524,0.092
4.1720,-0.7581,-0.2679,0.0799,0.808
4.1840,-0.2346,-0.5413,1.6709,1.772
4.1940,-0.2299,-0.1611,-1.1016,1.137
4.2060,0.0229,-0.6313,1.6948,1.809
4.2670,0.4261,-0.5174,-1.4200,1.570
4.2700,-0.0966,-0.3502,1.0172,1.080
4.2730,-0.0441,0.2713,0.1373,0.307
4.2750,0.5785,0.3733,1.1596,1.349
4.2780,0.7021,0.7724,0.4784,1.148
4.2810,0.3207,-0.2346,-0.1944,0.442
4.2830,0.1999,0.1292,-0.4458,0.505
4.2840,0.2453,0.6330,-0.1585,0.697
4.2940,0.2252,0.1815,0.7369,0.792
4.3060,-0.3237,0.3726,-0.6074,0.783
4.3560,-0.8432,-1.1057,-0.7307,1.571
4.3580,-0.7588,-0.8718,-0.9295,1.483
4.3590,-0.1626,0.6847,-0.0340,0.705
4.3600,1.0302,0.4578,0.9261,1.459
4.3620,-0.4331,-0.0816,0.7333,0.856
4.3630,-0.8068,-1.0630,-1.1198,1.742
4.3720,-0.9099,-0.7133,-0.7199,1.362
4.3870,-0.5149,-0.0971,0.3779,0.646
4.3920,0.2814,-0.0292,2.0766,2.096
4.4220,-0.2241,0.0214,-1.2382,1.258
4.4230,-0.5105,-1.0872,-0.4169,1.271
4.4230,-0.4501,-0.9073,-0.3797,1.082
4.4320,-0.1246,0.3521,0.7492,0.837
4.4410,0.6856,0.5539,0.4847,1.006
4.4520,-0.4681,-0.5554,-0.3365,0.800
4.4660,-0.9739,-0.8427,0.0550,1.289
4.4740,-0.3198,0.2134,-0.0873,0.394
4.4840,0.1079,0.6564,0.2372,0.706
4.4920,0.2385,0.8595,0.4216,0.987
4.5070,0.1200,0.5012,0.1643,0.541
4.5540,0.4425,-0.0811,0.9161,1.021
4.5560,-0.8934,-0.5844,-2.0431,2.305
4.5570,-0.8345,-0.0960,-1.1812,1.449
4.5580,0.2349,0.5197,-0.1037,0.580
4.5590,0.6396,0.2369,0.6290,0.928
4.5640,-0.3677,-0.5020,0.7164,0.949
4.5720,-0.8534,-0.2464,-0.5813,1.062
4.5830,0.1191,-0.3322,-0.6039,0.699
4.5920,0.2048,0.5395,0.7142,0.918
4.6020,0.2493,-0.5175,1.0459,1.193
4.6350,-0.2869,-0.5627,-0.5810,0.858
4.6350,-0.1222,-0.1442,-0.4853,0.521
4.6360,-0.5018,-0.0196,-0.6444,0.817
4.6400,0.4543,1.0812,-0.0266,1.173
4.6520,0.1241,-0.6111,0.3098,0.696
4.6610,-0.0323,-0.5982,-1.0980,1.251
4.6720,-0.7153,-0.7868,-0.3666,1.125
4.6890,0.0002,0.4990,-0.0289,0.500
4.6930,0.6108,0.8820,0.5086,1.187
4.7420,0.1723,0.1301,0.3446,0.407
4.7470,-0.4826,-0.6134,-0.2887,0.832
4.7490,0.0293,-0.6095,0.4344,0.749
4.7490,-0.0646,0.6342,-1.0679,1.244
4.7510,0.0915,1.1706,-0.7806,1.410
4.7520,-0.0433,0.2082,-0.6837,0.716
4.7610,-0.0654,-0.7879,0.2549,0.831
4.7720,-0.0147,-0.5583,-0.1294,0.573
4.8080,-0.1974,0.4758,-0.5448,0.750
4.8080,0.4143,0.6094,-0.4106,0.844
4.8090,0.7896,0.8475,0.0407,1.159
4.8160,0.5136,-0.0221,-0.6633,0.839
4.8210,0.0136,0.2224,0.6690,0.705
4.8340,-0.1374,0.8840,-0.8539,1.237
4.8410,0.0430,0.9900,-0.4492,1.088
4.8530,0.7766,0.5468,-0.5115,1.079
4.8620,0.5823,-0.1851,0.0176,0.611
4.8720,0.1574,0.1911,-0.7439,0.784
4.8870,0.5054,0.8248,0.1419,0.978
4.8920,0.9967,1.0467,0.3107,1.478
4.9360,0.3698,-0.1535,-0.1958,0.446
4.9380,0.1318,-0.4925,-0.2772,0.580
4.9400,-0.5904,-0.6163,-0.7992,1.169
4.9420,0.1904,-0.2123,0.8672,0.913
4.9430,0.1382,0.3704,-0.7478,0.846
4.9520,-0.4945,-0.2620,-0.0535,0.562
4.9610,-0.7627,-0.7161,-0.8675,1.359
4.9720,-0.4557,-0.1946,0.6337,0.804
4.9890,-0.4551,-0.1932,0.6337,0.804
4.9970,0.1607,0.2253,0.4684,0.544
5.0010,0.2413,0.9671,-0.0415,0.998
5.0450,0.1015,-0.3623,-0.9692,1.040
5.0460,0.3842,-0.4803,0.3811,0.724
5.0460,-0.2309,0.2252,0.3763,0.496
5.0470,0.3858,0.9309,-0.2390,1.036
5.0520,0.2672,0.3633,-0.0858,0.459
5.0620,-0.0374,-0.6913,-0.0199,0.693
5.0740,-0.3946,-0.7736,0.2004,0.891
5.0960,-0.0189,0.3151,-0.5945,0.673
5.0990,0.5189,0.7104,0.2267,0.908
5.1020,0.1885,-0.1937,-0.1312,0.300
5.1120,-0.8058,-0.7117,-0.5059,1.188
5.1240,-0.6438,-1.0040,-0.4114,1.262
5.1330,-0.1845,-0.2794,-0.4258,0.542
5.1410,0.7011,0.8873,-0.2331,1.155
5.1530,0.4305,0.4077,0.6276,0.863
5.1610,-0.3042,-0.8975,-0.3289,1.003
5.1720,-0.6719,-0.6287,-0.5875,1.092
5.1880,0.3144,-0.4687,1.1495,1.281
5.1930,0.3462,0.0849,-0.4882,0.605
5.2350,0.1829,-0.2395,-1.2927,1.327
5.2380,-0.4847,-0.9265,-0.4871,1.153
5.2390,-0.6297,-0.2938,-0.6033,0.920
5.2400,-0.7487,-0.3052,0.3113,0.866
5.2410,0.1555,0.6057,1.0654,1.235
5.2520,0.0978,-0.1361,-1.0894,1.102
5.2610,-0.5742,-1.0479,-0.1915,1.210
5.2720,-0.5214,-0.4973,-0.6260,0.954
5.2910,-0.0188,0.6811,0.1294,0.694
5.2950,-0.0145,0.6844,0.1294,0.697
5.3290,0.3088,0.3795,0.4371,0.656
5.3330,-0.5713,-0.6048,-0.1638,0.848
5.3340,-0.4268,-0.8410,0.2456,0.975
5.3370,0.1219,0.4701,0.0697,0.491
5.3410,0.6168,0.5075,0.6324,1.019
5.3540,0.3119,0.0565,0.2337,0.394
5.3610,-0.1995,-0.2930,-0.0727,0.362
5.3740,-0.5991,-0.0110,-0.5348,0.803
5.3880,-0.1652,1.1534,-0.4582,1.252
5.3920,0.8774,0.5698,-0.2558,1.077
5.4400,-0.0513,-0.2536,0.5882,0.643
5.4420,0.0268,-0.2647,-1.8827,1.901
5.4430,-0.8447,-0.9829,-1.3679,1.884
