time,ax,ay,az,aT
1.7480,0.5543,0.3633,1.3893,1.539
1.7560,0.3132,1.2678,0.1886,1.319
1.7680,0.4631,0.8907,-0.6361,1.188
1.7770,-0.1798,0.3301,-1.4404,1.489
1.7900,0.4000,-0.7584,1.5895,1.806
1.7960,0.9028,-2.0095,1.4770,2.652
1.8100,-0.6773,-1.4300,-0.0100,1.582
1.8150,-0.9479,-0.7122,-2.3613,2.642
1.8270,-1.6670,1.4875,-1.4815,2.681
1.8380,-0.9081,1.0404,-0.2257,1.399
1.8470,0.9441,0.0329,0.6351,1.138
1.8640,2.3090,1.5013,-0.9270,2.906
1.8670,0.5630,2.1861,-0.5547,2.325
1.8760,-0.5109,-1.6195,-0.8777,1.912
1.8880,-0.4286,-1.6596,-0.1379,1.720
1.8960,0.3919,-0.9817,1.9869,2.251
1.9070,-0.5338,0.6299,0.4425,0.937
1.9150,0.2125,1.3685,-1.8678,2.325
1.9270,-0.6212,-0.5614,0.4858,0.968
1.9450,0.1737,0.3319,0.0609,0.379
1.9480,0.3489,1.0909,1.5381,1.918
1.9550,0.3259,-0.2050,0.3231,0.503
1.9670,-0.0016,-0.4942,-2.8816,2.924
1.9760,-1.7904,-1.9525,-0.6922,2.738
1.9940,-0.8267,-1.5730,-0.7030,1.911
2.0130,0.3028,0.8783,0.1612,0.943
2.0150,0.7941,1.0876,0.4437,1.418
2.0180,0.8814,-0.2712,0.9920,1.354
2.0270,-0.4700,-0.3423,-1.1819,1.317
2.0390,-0.1165,-1.7657,0.3504,1.804
2.0470,-0.5871,-2.5542,0.1994,2.628
2.0610,-1.3958,-0.5184,0.0819,1.491
2.0670,-0.2512,0.3543,-0.0294,0.435
2.0760,-0.9002,1.7105,-0.5800,2.018
2.0890,-0.1262,-0.6616,1.0446,1.243
2.0950,-0.0803,0.2397,0.5659,0.620
2.1080,1.2433,2.5001,-0.2373,2.802
2.1150,0.2999,0.5975,-0.0806,0.673
2.1290,-0.0195,-1.2130,-1.6212,2.025
2.1360,-0.9419,-2.7195,-0.2218,2.887
2.1590,-1.4133,-2.6766,1.0281,3.197
2.1620,0.1629,1.3048,0.5892,1.441
2.1670,-0.4807,0.7722,-1.1632,1.477
2.1790,-0.2665,-0.4062,0.1800,0.518
2.1900,1.0765,0.4425,0.4052,1.232
2.1950,-0.0127,-0.6620,0.2998,0.727
2.2080,0.7025,-1.3324,1.3916,2.051
2.2160,-0.9619,-0.0392,-2.1660,2.370
2.2270,0.6264,-1.1568,0.9526,1.624
2.2360,-1.3929,0.1138,-1.9310,2.384
2.2480,0.3755,0.2695,-0.3207,0.563
2.2720,0.0290,1.7501,-0.4728,1.813
2.2750,0.8644,1.7460,1.7094,2.592
2.2770,0.1771,-0.1833,-0.8047,0.844
2.2890,-0.0008,-0.2662,-1.2932,1.320
2.2960,1.3241,-1.9553,0.2991,2.380
2.3080,-1.5877,0.1446,1.2281,2.012
2.3150,-0.4443,1.2836,-0.9099,1.635
2.3270,-0.8573,0.8738,-0.4730,1.312
2.3350,-0.2787,-0.5511,-0.1235,0.630
2.3470,0.7111,1.6083,-0.0708,1.760
2.3700,1.1990,1.9801,0.3254,2.338
2.3710,-0.0303,0.0868,0.4640,0.473
2.3750,-0.6098,-0.8989,-1.9136,2.200
2.3910,0.2255,-1.6407,0.5010,1.730
2.3950,-0.1434,-1.0700,1.6731,1.991
2.4070,0.5511,1.2502,1.3224,1.901
2.4150,0.1215,1.9208,0.5143,1.992
2.4270,-0.7539,0.4579,-0.1443,0.894
2.4400,1.2721,-0.3347,-0.6268,1.457
2.4490,0.8815,0.1312,1.5997,1.831
2.4900,1.6302,0.0588,-0.2296,1.647
2.4960,-0.3688,-0.1818,-0.6260,0.749
2.4990,-0.5979,-0.7639,0.3028,1.016
2.5000,0.3786,1.1919,-0.3676,1.303
2.5010,1.0449,0.9582,1.4986,2.063
2.5120,0.0696,1.0939,-0.7449,1.325
2.5160,0.8244,1.7588,0.1743,1.950
2.5270,0.3832,0.4631,-0.2256,0.642
2.5360,0.9305,-2.3605,3.6495,4.445
2.5540,0.5329,-1.9155,-1.7472,2.647
2.5570,-1.1215,0.1751,1.0467,1.544
2.5670,-0.9597,-0.1076,0.3679,1.033
2.5750,0.2367,2.4946,-0.4186,2.541
2.5900,-0.3607,-0.5224,1.3903,1.528
2.5950,1.1238,0.9744,-0.6831,1.637
2.6090,0.8566,1.3166,1.4538,2.140
2.6150,0.1748,0.6915,-0.3980,0.817
2.6270,-0.6671,-1.1921,-1.8596,2.307
2.6360,-1.1830,-2.1067,0.4580,2.459
2.6490,0.0509,-0.9771,1.9028,2.140
2.6580,0.8055,0.6218,1.1127,1.508
2.6750,-0.7616,0.6969,-0.4986,1.146
2.6750,0.0496,0.4254,-0.3980,0.585
2.6870,0.4483,0.2703,0.4197,0.671
2.6960,0.9497,-1.6360,1.5091,2.420
2.7070,1.2027,-0.4658,-0.1874,1.303
2.7150,0.0250,-0.1319,-1.9113,1.916
2.7270,-1.6914,-0.9098,0.4385,1.970
2.7360,-0.2130,1.0016,-0.7491,1.269
2.7480,1.9587,0.4470,3.1020,3.696
2.7720,0.5120,1.6618,-1.1764,2.099
2.7740,0.2726,0.5640,0.7666,0.990
2.7750,-0.1720,1.1199,-1.3306,1.748
2.7910,0.1855,-1.5482,1.1427,1.933
2.7950,0.5375,-1.7735,1.1726,2.193
2.8090,-1.0641,-0.8106,-0.5250,1.437
2.8150,-0.5313,1.4864,-2.1603,2.676
2.8270,-1.0797,0.9295,-0.3479,1.467
2.8350,-0.8836,-0.5673,0.1514,1.061
2.8480,1.3650,1.3872,0.1599,1.953
2.8690,0.3538,1.6566,0.3898,1.738
2.8690,-0.1389,0.2014,-1.5074,1.527
2.8800,0.3819,-0.3692,-3.7926,3.830
2.8890,-2.5965,-1.7913,0.6187,3.215
2.8960,-0.4330,-0.4082,1.4195,1.539
2.9070,0.2915,0.7043,0.3433,0.836
2.9150,-0.7747,1.0937,-1.7492,2.204
2.9270,-0.3926,0.7871,-0.3101,0.933
2.9350,-0.2453,0.2900,0.8526,0.933
