time,ax,ay,az,aT
4.1790,-0.0438,-0.6894,-0.9416,1.168
4.2010,-0.7916,-0.2149,-1.5043,1.713
4.2040,-0.2077,0.5148,1.0109,1.153
4.2100,0.7618,0.1442,-0.6506,1.012
4.2570,0.6778,-0.5356,0.3849,0.946
4.2600,0.1619,-0.6454,-0.6339,0.919
4.2610,0.1848,0.2883,-0.0091,0.343
4.2610,0.5626,1.4369,-0.0726,1.545
4.2620,1.3936,0.8680,1.2765,2.080
4.2700,0.3128,-0.3662,0.1103,0.494
4.2790,-0.4822,-0.8541,-1.1959,1.547
4.2930,-0.3248,-0.5584,0.4847,0.808
4.2980,-0.4285,0.7562,-1.2415,1.515
4.3080,-0.4281,0.7570,-1.2415,1.516
4.3340,0.1033,-0.4741,-1.3385,1.424
4.3340,0.1115,-0.8942,0.1830,0.920
4.3390,0.8621,0.4482,0.9874,1.385
4.3490,0.4887,1.1907,0.7383,1.484
4.3590,0.9429,0.8413,0.5815,1.391
4.3750,1.1061,0.2610,0.4090,1.208
4.3790,1.4837,-0.6159,-0.3250,1.639
4.4200,0.3142,0.7261,1.3243,1.543
4.4230,1.1261,1.3822,-1.1838,2.140
4.4240,0.7846,0.3425,1.4354,1.671
4.4240,0.6695,-0.0407,-0.6224,0.915
4.4280,-0.0445,-1.2380,-0.3206,1.280
4.4400,-0.2653,0.1108,0.3929,0.487
4.4610,0.6241,0.9724,0.1019,1.160
4.4670,0.9093,0.1056,0.5462,1.066
4.4680,-0.0635,-0.7070,-0.2617,0.757
4.5050,-0.7305,-1.0952,-0.9872,1.645
4.5050,-0.5458,-0.5322,-0.7358,1.060
4.5060,0.3732,0.6072,2.1755,2.289
4.5070,-0.0776,-0.0316,-1.3728,1.375
4.5190,0.1052,-0.5709,-1.4697,1.580
4.5270,-0.2058,-0.6469,-0.5815,0.894
4.5430,-0.0849,0.1948,0.3377,0.399
4.5600,0.7043,0.8756,0.0612,1.125
4.5630,0.4324,0.1714,-0.6163,0.772
4.5680,0.0591,-1.0497,-0.4870,1.159
4.5790,-0.3006,-0.6903,-0.2488,0.793
4.6160,0.3175,0.6982,-0.6009,0.974
4.6180,0.3015,1.0043,2.8480,3.035
4.6200,0.2918,1.3328,-1.6878,2.170
4.6220,-0.6031,-0.6821,0.4995,1.038
4.6280,-0.2356,-0.4540,0.5726,0.768
4.6390,-0.2529,0.6956,-0.2990,0.798
4.6590,-0.0296,0.9601,-0.3779,1.032
4.6620,0.1602,0.3459,0.6170,0.725
4.7090,0.1695,-0.5271,-0.4806,0.733
4.7130,-1.0113,-1.2621,-0.3286,1.650
4.7160,-0.8426,-0.5830,-0.6099,1.192
4.7190,-0.3560,0.3724,0.4446,0.681
4.7210,0.2299,-0.1447,-0.8053,0.850
4.7220,-1.0936,-0.8986,0.0590,1.417
4.7290,-1.4719,-1.1669,-1.3585,2.318
4.7420,-1.0858,-0.1177,-0.8393,1.377
4.7490,0.0895,0.9313,0.9574,1.339
4.7600,0.6960,0.1392,0.0320,0.711
4.7800,-0.3020,-1.0344,0.7120,1.292
4.7830,-0.6109,-1.1199,-1.1747,1.734
4.7880,-0.6830,0.1162,-0.2877,0.750
4.8340,0.7163,0.9824,0.9094,1.518
4.8350,0.6185,1.0031,1.0602,1.585
4.8350,0.1415,-0.4093,-1.4836,1.546
4.8360,-1.1340,-1.3486,-0.5283,1.840
4.8390,-0.9724,-0.7751,-0.5343,1.353
4.8480,0.2901,0.9383,0.6688,1.188
4.8590,0.5479,-0.2321,-0.1057,0.604
4.8760,-0.4278,-0.7218,-0.7139,1.102
4.8780,-1.0283,-0.9683,-1.0766,1.776
4.9150,-0.7467,-0.4862,-1.1807,1.479
4.9160,-0.1013,0.6333,0.2654,0.694
4.9190,0.6094,-0.2084,-0.0206,0.644
4.9210,0.7477,-0.1662,-0.0996,0.772
4.9280,0.2939,-0.1826,-0.4515,0.569
4.9420,-0.3780,0.3163,-0.0290,0.494
4.9470,0.1696,1.1077,0.8030,1.379
4.9600,1.4355,0.3486,-0.2588,1.500
4.9830,-0.1254,-0.4687,0.4031,0.631
4.9840,-0.1516,0.2596,-1.8882,1.912
5.0050,-0.9513,-0.1673,-0.2458,0.997
5.0060,0.1329,1.4307,0.8963,1.693
5.0070,0.1616,0.1896,-0.8035,0.841
5.0180,-0.4388,-1.3179,-0.0901,1.392
5.0280,-0.6252,-0.9396,-0.7724,1.368
5.0390,-0.9789,-0.7907,-0.6970,1.439
5.0480,0.0343,1.0060,0.5948,1.169
5.0600,0.1786,0.4328,-1.0918,1.188
5.1120,-0.1602,-0.8198,-0.1640,0.851
5.1140,-0.4862,-0.3773,-0.2191,0.653
5.1150,-0.6233,0.2803,-0.9624,1.180
5.1160,0.5895,0.9561,0.4227,1.200
5.1170,0.7986,0.2346,0.1462,0.845
5.1190,0.6916,-0.1374,-0.0094,0.705
5.1280,0.1487,-0.1304,0.2719,0.336
5.1400,0.2772,1.0128,-0.5421,1.182
5.1480,1.3594,1.6362,-0.2728,2.145
5.1630,0.3244,-0.1617,-0.2741,0.454
5.2170,0.7219,-0.1644,-1.0954,1.322
5.2180,0.4540,-0.5537,2.9196,3.006
5.2190,0.2115,1.2000,-2.5561,2.832
5.2200,-0.0771,1.5175,0.3385,1.557
5.2200,-0.2158,0.6354,-0.3737,0.768
5.2210,-0.2822,-0.6386,-1.5383,1.689
5.2280,-0.2624,-1.6293,0.7052,1.795
5.2390,-0.1263,0.0487,-0.6176,0.632
5.2470,0.0536,0.6420,0.0850,0.650
5.2590,-0.0220,-0.0991,-0.8295,0.836
5.3150,0.5034,-0.3956,-0.2669,0.694
5.3190,-0.3134,-0.6497,-0.0838,0.726
5.3200,-0.0589,0.6924,0.2694,0.745
5.3210,0.6740,1.1152,0.7997,1.529
5.3230,1.0658,0.8227,0.5735,1.463
5.3250,1.0741,0.2731,-0.0633,1.110
5.3280,0.0054,-0.1648,-0.6821,0.702
5.3410,0.1055,0.5223,0.2481,0.588
5.3490,0.2397,1.2183,0.8013,1.478
5.3690,0.4852,0.7487,-1.0205,1.356
5.3710,0.1893,-0.9265,-0.6994,1.176
5.3790,-0.0638,-1.0098,-0.5149,1.135
5.4220,0.3824,0.4341,-0.1187,0.591
5.4240,-0.0987,0.6465,0.4428,0.790
5.4250,0.3090,0.0251,-0.7158,0.780
5.4250,-0.2195,-1.1075,-1.0366,1.533
5.4270,-0.3989,-1.0310,-0.2992,1.145
5.4400,0.2417,-1.0354,2.7030,2.905
5.4470,0.3867,0.5285,0.4523,0.796
